Student_Name,Gender,Stream,Branch,Semester,10th_%,10th_Board,10th_Passout_Year,12th_%,12th_Education,12th_Passout_Year,University_Admission_Year,CGPA,Attendance_%,Backlog,Top_Certification,Internship_Status,Projects_Count,Placement_Status
s163,Female,B.Tech,IT,2,77.31,CBSE,2024,67.44,State Board - Science,2026.0,2026,5.97,91.0,Yes (Cleared),AWS,Not Yet,2,Not Placed
s164,Male,B.Tech,CSE,2,80.27,ICSE,2024,83.35,CHSE Odisha - Science,2026.0,2026,8.32,71.0,Yes (Cleared),NPTEL DBMS,Not Yet,2,Not Placed
s165,Female,B.Tech,ECE,8,74.68,CBSE,2021,76.03,ISC - Science,2023.0,2023,8.83,76.0,No,No Certification,Not Yet,1,Not Placed
s166,Male,B.Tech,CSE,1,91.61,ICSE,2023,86.69,CHSE Odisha - Science,2025.0,2026,9.49,94.0,No,Java,Not Yet,4,Not Placed
s167,Male,B.Tech,Mechanical,8,84.91,CBSE,2021,63.55,CHSE Odisha - Science,2023.0,2023,5.97,94.0,Yes,AutoCAD,Completed - Tata Motors,2,Not Placed
s168,Female,MCA,Artificial Intelligence,4,91.81,CBSE,2020,66.35,State Board - Science,2022.0,2025,7.76,75.0,Yes,No Certification,Not Yet,0,Not Placed
s169,Female,B.Tech,Mechanical,1,79.23,ICSE,2024,61.29,CHSE Odisha - Science,2026.0,2026,5.95,74.0,Yes (Cleared),No Certification,Not Yet,0,Not Placed
s170,Male,B.Tech,IT,6,76.25,CBSE,2022,87.11,CBSE - Science,2024.0,2024,8.0,83.0,No,SQL,Completed - Amazon,3,Not Placed
s171,Male,M.Tech,Power Systems,4,92.72,ICSE,2018,91.99,CBSE - Science,2020.0,2025,8.07,79.0,Yes,No Certification,Completed - JSW Steel,3,Not Placed
s172,Male,B.Tech,ECE,2,97.58,ICSE,2024,82.95,ISC - Science,2026.0,2026,9.45,92.0,No,ML,Not Yet,1,Not Placed
s173,Female,B.Sc,Mathematics,1,93.87,CBSE,2024,72.91,CBSE - Science,2026.0,2026,8.75,72.0,No,SQL,Not Yet,3,Not Placed
s174,Female,B.Tech,Civil,2,92.57,State Board,2024,88.79,State Board - Science,2026.0,2026,7.51,69.0,Yes,ANSYS,Not Yet,1,Not Placed
s175,Female,B.Tech,Mechanical,8,68.94,ICSE,2020,87.53,CBSE - Science,2022.0,2023,9.22,95.0,No,PLC & SCADA,Completed - TCS,4,Placed - Cognizant
s176,Female,B.Tech,IT,8,90.72,State Board,2021,79.67,CBSE - Science,2023.0,2023,10.0,83.0,No,Java,Completed - Microsoft,2,Placed - IBM
s177,Female,B.Tech,CSE,1,61.42,CBSE,2023,69.03,ISC - Science,2025.0,2026,7.15,77.0,No,Azure,Not Yet,2,Not Placed
s178,Female,B.Tech,IT,8,66.72,CBSE,2021,70.57,CBSE - Science,2023.0,2023,6.98,69.0,Yes,Azure,Not Yet,1,Not Placed
s179,Male,B.Sc,Data Science,6,79.96,ICSE,2021,74.76,ISC - Commerce,2023.0,2024,8.77,96.0,Yes (Cleared),AWS,Completed - Wipro,5,Placed - Adobe
s180,Female,B.Tech,Mechanical,2,70.81,ICSE,2024,71.15,State Board - Science,2026.0,2026,8.16,77.0,No,Revit,Not Yet,1,Not Placed
s181,Female,M.Tech,VLSI,1,70.78,State Board,2020,75.07,CBSE - Science,2022.0,2026,8.39,84.0,No,SQL,Not Yet,2,Not Placed
s182,Female,B.Tech,IT,4,77.82,CBSE,2023,82.46,CBSE - Science,2025.0,2025,8.41,93.0,No,ML,Completed - Microsoft,2,Not Placed
s183,Male,B.Tech,IT,8,77.26,State Board,2020,92.69,CBSE - Science,2022.0,2023,8.99,87.0,No,Python,Completed - Intel,5,Placed - Goldman Sachs
s184,Male,B.Sc,Data Science,6,89.39,CBSE,2021,61.91,CHSE Odisha - Science,2023.0,2024,8.45,86.0,Yes,Python,Completed - Google,4,Not Placed
s185,Male,B.Tech,Civil,1,96.78,ICSE,2024,79.86,CHSE Odisha - Science,2026.0,2026,9.35,95.0,No,Revit,Not Yet,2,Not Placed
s186,Male,B.Tech,EEE,8,82.52,CBSE,2020,61.38,State Board - Science,2022.0,2023,7.79,99.0,No,PLC & SCADA,Completed - IBM,3,Placed - IBM
s187,Female,BCA,Computer Applications,4,96.24,CBSE,2022,64.16,ISC - Arts,2024.0,2025,8.99,85.0,No,SQL,Completed - ISRO,4,Not Placed
s188,Female,B.Tech,Civil,8,97.67,CBSE,2021,88.36,CHSE Odisha - Science,2023.0,2023,6.52,100.0,Yes,SolidWorks,Completed - Cognizant,2,Not Placed
s189,Female,B.Tech,Civil,4,96.74,State Board,2023,80.14,CHSE Odisha - Science,2025.0,2025,8.14,78.0,No,PLC & SCADA,Ongoing - Cognizant,3,Not Placed
s190,Male,B.Tech,EEE,8,80.21,CBSE,2021,92.15,State Board - Science,2023.0,2023,7.56,80.0,No,AutoCAD,Completed - JSW Steel,2,Placed - Mahindra & Mahindra
s191,Male,B.Tech,EEE,8,76.17,ICSE,2021,75.63,CBSE - Science,2023.0,2023,6.31,100.0,No,PLC & SCADA,Completed - ISRO,1,Placed - Wipro
s192,Male,B.Sc,Chemistry,6,76.35,CBSE,2021,60.49,CHSE Odisha - Commerce,2023.0,2024,8.72,85.0,Yes,NPTEL DBMS,Completed - Intel,5,Not Placed
s193,Female,B.Tech,IT,8,66.7,State Board,2020,73.55,CHSE Odisha - Science,2022.0,2023,6.12,100.0,Yes,SQL,Completed - Intel,4,Not Placed
s194,Female,B.Tech,IT,8,75.72,CBSE,2021,80.72,CBSE - Science,2023.0,2023,9.12,83.0,No,AWS,Completed - Intel,4,Placed - Accenture
s195,Male,B.Tech,CSE,8,87.47,CBSE,2021,92.82,CBSE - Science,2023.0,2023,7.49,68.0,Yes,No Certification,Not Yet,0,Not Placed
s196,Male,BCA,Information Technology,3,95.21,ICSE,2023,94.33,CBSE - Science,2025.0,2025,7.85,81.0,No,ML,Completed - TCS,2,Not Placed
s197,Male,M.Sc,Mathematics,2,52.77,ICSE,2020,76.64,CBSE - Science,2022.0,2026,8.18,91.0,No,Python,Not Yet,3,Not Placed
s198,Female,B.Tech,Civil,8,83.43,State Board,2020,74.43,CHSE Odisha - Science,2022.0,2023,7.05,77.0,Yes (Cleared),ETABS,Completed - L&T,3,Placed - Tech Mahindra
s199,Female,B.Tech,Mechanical,1,88.28,ICSE,2023,63.57,State Board - Science,2025.0,2026,7.36,93.0,No,PLC & SCADA,Not Yet,2,Not Placed
s200,Female,B.Tech,IT,4,92.39,State Board,2022,82.56,State Board - Science,2024.0,2025,9.62,97.0,No,No Certification,Ongoing - DRDO,4,Not Placed
s201,Female,M.Sc,Physics,1,72.37,CBSE,2020,67.43,State Board - Science,2022.0,2026,8.15,91.0,No,No Certification,Not Yet,2,Not Placed
s202,Female,B.Tech,Civil,3,88.5,CBSE,2023,65.31,CBSE - Science,2025.0,2025,8.2,83.0,No,ETABS,Completed - L&T,1,Not Placed
s203,Female,M.Tech,Communication Systems,4,95.47,CBSE,2019,60.54,CBSE - Science,2021.0,2025,7.96,82.0,No,Java,Completed - Intel,2,Placed - Accenture
s204,Male,MCA,Cloud Computing,4,91.9,ICSE,2019,60.17,ISC - Science,2021.0,2025,6.56,89.0,Yes,ML,Completed - ISRO,3,Not Placed
s205,Male,B.Tech,CSE,8,91.0,CBSE,2021,83.93,CHSE Odisha - Science,2023.0,2023,8.28,79.0,No,Java,Completed - Cisco,3,Placed - Adobe
s206,Male,Diploma,Diploma Electrical,6,83.38,CBSE,2024,,Diploma (Lateral Entry),,2024,8.55,94.0,Yes,ETABS,Completed - JSW Steel,2,Not Placed
s207,Male,B.Tech,IT,2,75.0,State Board,2024,93.82,ISC - Science,2026.0,2026,7.51,68.0,Yes (Cleared),Java,Not Yet,1,Not Placed
s208,Female,B.Tech,Mechanical,8,92.1,State Board,2020,63.08,ISC - Science,2022.0,2023,7.26,80.0,No,No Certification,Completed - Ashok Leyland,2,Placed - TCS
s209,Male,MCA,Data Science,2,79.31,State Board,2021,90.43,CHSE Odisha - Science,2023.0,2026,8.71,86.0,No,Python,Not Yet,1,Not Placed
s210,Female,B.Tech,CSE,1,92.42,ICSE,2024,64.51,CBSE - Science,2026.0,2026,8.73,94.0,No,Azure,Not Yet,2,Not Placed
s211,Male,MCA,Cloud Computing,4,97.21,CBSE,2020,60.62,ISC - Science,2022.0,2025,8.47,88.0,Yes,ML,Ongoing - Google,3,Not Placed
s212,Male,MCA,Cloud Computing,1,81.08,ICSE,2020,85.18,CBSE - Science,2022.0,2026,7.67,72.0,Yes (Cleared),AWS,Not Yet,3,Not Placed
s213,Female,B.Tech,ECE,8,81.24,State Board,2020,68.48,CBSE - Science,2022.0,2023,8.1,69.0,Yes (Cleared),AWS,Completed - Cisco,3,Placed - Amazon
s214,Male,M.Tech,VLSI,2,60.97,State Board,2020,85.67,ISC - Science,2022.0,2026,8.38,80.5,No,ML,Not Yet,1,Not Placed
s215,Female,B.Tech,IT,2,90.29,ICSE,2023,66.56,CHSE Odisha - Science,2025.0,2026,8.79,87.0,No,SQL,Not Yet,3,Not Placed
s216,Female,B.Tech,Civil,8,66.77,ICSE,2021,61.75,State Board - Science,2023.0,2023,6.92,84.0,No,No Certification,Completed - Mahindra & Mahindra,1,Not Placed
s217,Female,B.Tech,EEE,2,73.56,ICSE,2024,87.09,State Board - Science,2026.0,2026,7.64,84.0,No,No Certification,Not Yet,1,Not Placed
s218,Female,M.Tech,Power Systems,4,74.23,ICSE,2018,84.97,CBSE - Science,2020.0,2025,8.4,96.0,Yes,STAAD Pro,Completed - Wipro,3,Not Placed
s219,Female,B.Tech,IT,4,95.34,CBSE,2022,89.94,CBSE - Science,2024.0,2025,8.09,78.0,Yes (Cleared),No Certification,Completed - Infosys,2,Not Placed
s220,Male,B.Tech,EEE,2,92.58,CBSE,2023,85.54,CHSE Odisha - Science,2025.0,2026,8.2,65.0,Yes (Cleared),PLC & SCADA,Not Yet,3,Not Placed
s221,Female,B.Tech,Mechanical,2,62.67,CBSE,2023,62.95,State Board - Science,2025.0,2026,7.45,69.0,Yes,No Certification,Not Yet,1,Not Placed
s222,Female,B.Tech,EEE,8,93.14,CBSE,2021,82.0,CBSE - Science,2023.0,2023,7.31,85.0,No,SolidWorks,Completed - IBM,2,Placed - Deloitte
s223,Female,B.Tech,IT,2,97.45,ICSE,2024,84.82,State Board - Science,2026.0,2026,9.12,83.0,No,Java,Not Yet,1,Not Placed
s224,Male,MCA,Computer Applications,1,88.4,CBSE,2021,76.12,CBSE - Science,2023.0,2026,8.81,92.0,No,Cisco CCNA,Not Yet,2,Not Placed
s225,Female,MCA,Computer Applications,1,79.81,ICSE,2021,92.63,CHSE Odisha - Science,2023.0,2026,9.66,85.0,No,Azure,Not Yet,2,Not Placed
s226,Female,B.Tech,ECE,8,85.36,ICSE,2021,68.89,CHSE Odisha - Science,2023.0,2023,8.4,77.0,No,ML,Completed - DRDO,2,Placed - Goldman Sachs
s227,Male,B.Tech,Civil,2,73.67,CBSE,2023,93.75,CHSE Odisha - Science,2025.0,2026,8.21,80.0,No,ANSYS,Not Yet,4,Not Placed
s228,Female,B.Tech,CSE,4,70.4,State Board,2023,85.1,CBSE - Science,2025.0,2025,8.28,80.0,No,No Certification,Completed - Intel,2,Not Placed
s229,Male,B.Tech,Civil,6,97.18,CBSE,2021,60.4,CHSE Odisha - Science,2023.0,2024,7.11,66.0,Yes,ETABS,Completed - L&T,3,Not Placed
s230,Female,BCA,Multimedia,1,88.19,ICSE,2024,60.52,CHSE Odisha - Science,2026.0,2026,7.78,100.0,No,Python,Not Yet,2,Not Placed
s231,Female,B.Tech,Mechanical,3,84.74,ICSE,2022,82.77,ISC - Science,2024.0,2025,7.42,71.0,Yes (Cleared),No Certification,Not Yet,1,Not Placed
s232,Female,BCA,Information Technology,6,56.78,ICSE,2022,88.61,CBSE - Science,2024.0,2024,8.28,76.0,No,No Certification,Completed - Cisco,2,Not Placed
s233,Female,MCA,Artificial Intelligence,4,82.15,ICSE,2020,62.79,State Board - Science,2022.0,2025,8.01,89.0,Yes,SQL,Completed - TCS,3,Not Placed
s234,Male,B.Tech,Mechanical,2,94.41,CBSE,2024,70.89,ISC - Science,2026.0,2026,7.54,67.0,Yes,No Certification,Not Yet,1,Not Placed
s235,Male,B.Tech,Mechanical,8,61.62,CBSE,2021,85.53,State Board - Science,2023.0,2023,6.84,88.0,No,SolidWorks,Completed - IBM,1,Placed - Cognizant
s236,Female,B.Tech,Civil,1,75.76,State Board,2023,65.81,ISC - Science,2025.0,2026,6.9,74.0,Yes,ETABS,Not Yet,2,Not Placed
s237,Male,B.Tech,ECE,8,77.05,ICSE,2021,90.13,State Board - Science,2023.0,2023,8.9,84.0,No,SQL,Completed - Cognizant,3,Placed - Goldman Sachs
s238,Male,B.Tech,ECE,2,78.2,CBSE,2024,77.02,CBSE - Science,2026.0,2026,8.67,74.0,Yes,Python,Not Yet,1,Not Placed
s239,Male,B.Tech,Mechanical,4,90.18,ICSE,2022,62.09,CHSE Odisha - Science,2024.0,2025,8.33,83.0,No,AutoCAD,Completed - Siemens,3,Not Placed
s240,Female,BCA,Computer Applications,6,86.42,State Board,2022,72.86,State Board - Science,2024.0,2024,7.8,77.0,Yes,NPTEL DBMS,Completed - Wipro,2,Not Placed
s241,Male,B.Tech,IT,2,77.26,ICSE,2023,80.12,CHSE Odisha - Science,2025.0,2026,7.96,86.0,No,No Certification,Not Yet,3,Not Placed
s242,Female,B.Tech,ECE,8,81.73,CBSE,2020,75.36,State Board - Science,2022.0,2023,7.18,91.0,No,No Certification,Completed - ISRO,3,Placed - Accenture
s243,Female,B.Tech,ECE,2,73.67,ICSE,2023,83.69,ISC - Science,2025.0,2026,7.91,95.0,No,Azure,Not Yet,4,Not Placed
s244,Male,B.Tech,Mechanical,2,95.48,ICSE,2024,65.07,State Board - Science,2026.0,2026,9.63,84.0,No,ANSYS,Not Yet,2,Not Placed
s245,Male,B.Sc,Physics,6,79.91,State Board,2022,87.91,State Board - Science,2024.0,2024,7.2,80.0,Yes,Python,Completed - Infosys,1,Not Placed
s246,Female,B.Tech,ECE,1,82.83,ICSE,2023,72.71,CBSE - Science,2025.0,2026,8.08,80.0,No,Cisco CCNA,Not Yet,4,Not Placed
s247,Female,MCA,Computer Applications,4,86.33,CBSE,2020,82.57,CHSE Odisha - Science,2022.0,2025,8.63,81.0,Yes,No Certification,Completed - TCS,3,Not Placed
s248,Male,B.Tech,Civil,4,52.73,State Board,2022,82.04,CBSE - Science,2024.0,2025,7.44,92.0,No,AutoCAD,Completed - Siemens,4,Not Placed
s249,Male,B.Tech,EEE,2,56.86,ICSE,2023,74.63,CHSE Odisha - Science,2025.0,2026,8.32,81.0,No,ETABS,Not Yet,4,Not Placed
s250,Male,M.Sc,Physics,4,60.89,CBSE,2019,73.5,CHSE Odisha - Science,2021.0,2025,8.78,90.0,Yes,No Certification,Ongoing - Amazon,4,Placed - Cognizant
s251,Female,B.Tech,Mechanical,1,84.05,State Board,2024,87.52,ISC - Science,2026.0,2026,7.4,82.8,No,MATLAB & Simulink,Not Yet,1,Not Placed
s252,Female,M.Tech,Structural Engineering,4,84.89,ICSE,2019,93.07,State Board - Science,2021.0,2025,8.53,95.0,Yes,Revit,Completed - L&T,3,Not Placed
s253,Male,B.Tech,EEE,8,84.66,CBSE,2020,87.46,CHSE Odisha - Science,2022.0,2023,10.0,82.0,No,STAAD Pro,Completed - Mahindra & Mahindra,5,Placed - NTPC
s254,Male,B.Sc,Data Science,5,70.52,ICSE,2022,79.84,CBSE - Science,2024.0,2024,8.48,81.6,No,No Certification,Completed - Cognizant,2,Not Placed
s255,Female,B.Tech,ECE,8,82.32,CBSE,2021,70.23,ISC - Science,2023.0,2023,6.8,60.0,Yes (Cleared),Java,Completed - Oracle,1,Placed - Adobe
s256,Female,B.Tech,CSE,6,75.13,ICSE,2022,62.12,State Board - Science,2024.0,2024,6.34,92.0,No,Python,Completed - HCL,2,Not Placed
s257,Female,B.Tech,EEE,8,70.11,CBSE,2020,94.09,ISC - Science,2022.0,2023,7.86,66.0,Yes,No Certification,Completed - Siemens,4,Not Placed
s258,Female,B.Tech,Civil,3,58.4,CBSE,2022,84.61,CBSE - Science,2024.0,2025,8.15,94.0,No,No Certification,Completed - Bosch,3,Not Placed
s259,Male,B.Tech,Civil,2,74.83,ICSE,2024,88.96,ISC - Science,2026.0,2026,8.44,67.0,Yes (Cleared),ANSYS,Not Yet,2,Not Placed
s260,Female,B.Tech,Mechanical,1,83.26,CBSE,2024,71.62,State Board - Science,2026.0,2026,7.9,85.0,No,STAAD Pro,Not Yet,1,Not Placed
s261,Male,MCA,Computer Applications,4,58.48,State Board,2020,81.2,ISC - Science,2022.0,2025,7.65,71.0,Yes,Cisco CCNA,Completed - Wipro,3,Not Placed
s262,Male,B.Tech,Civil,8,67.86,CBSE,2020,94.21,State Board - Science,2022.0,2023,7.16,72.0,Yes (Cleared),AutoCAD,Completed - HCL,4,Placed - Accenture
s263,Female,M.Sc,Physics,4,77.19,State Board,2020,89.1,CBSE - Science,2022.0,2025,7.6,63.0,Yes,NPTEL DBMS,Completed - Intel,2,Not Placed
s264,Male,M.Tech,Power Systems,3,84.51,ICSE,2019,81.04,CBSE - Science,2021.0,2025,8.08,77.0,No,ETABS,Completed - JSW Steel,3,Placed - IBM
s265,Male,BCA,Multimedia,2,85.55,ICSE,2023,70.8,State Board - Science,2025.0,2026,7.52,57.0,Yes,AWS,Not Yet,3,Not Placed
s266,Female,B.Tech,EEE,4,91.96,ICSE,2022,75.0,ISC - Science,2024.0,2025,6.87,77.0,No,No Certification,Completed - L&T,2,Not Placed
s267,Female,B.Tech,ECE,2,72.97,ICSE,2023,91.08,CHSE Odisha - Science,2025.0,2026,7.48,60.0,Yes,Cisco CCNA,Not Yet,2,Not Placed
s268,Female,B.Tech,IT,5,85.69,State Board,2021,73.18,State Board - Science,2023.0,2024,8.71,91.0,No,SQL,Not Yet,3,Not Placed
s269,Female,B.Tech,CSE,8,61.92,CBSE,2021,83.97,CHSE Odisha - Science,2023.0,2023,6.9,75.0,No,Cisco CCNA,Completed - HCL,2,Placed - Wipro
s270,Male,B.Tech,Mechanical,5,77.75,ICSE,2022,81.06,State Board - Science,2024.0,2024,8.48,96.0,No,No Certification,Completed - DRDO,2,Not Placed
s271,Female,B.Sc,Physics,2,91.62,State Board,2023,91.36,ISC - Science,2025.0,2026,8.8,79.0,No,No Certification,Not Yet,3,Not Placed
s272,Female,B.Tech,IT,8,84.22,State Board,2020,88.26,ISC - Science,2022.0,2023,6.64,85.0,Yes,SQL,Not Yet,2,Not Placed
s273,Female,BCA,Computer Applications,6,85.73,State Board,2021,69.92,CHSE Odisha - Science,2023.0,2024,7.53,77.0,Yes,No Certification,Not Yet,2,Not Placed
s274,Male,B.Tech,Mechanical,3,91.28,ICSE,2022,60.06,State Board - Science,2024.0,2025,6.44,73.0,No,No Certification,Ongoing - Mahindra & Mahindra,3,Not Placed
s275,Male,MCA,Artificial Intelligence,4,95.55,ICSE,2020,69.21,CBSE - Science,2022.0,2025,9.74,92.0,Yes,Python,Ongoing - Amazon,3,Placed - TCS
s276,Male,B.Tech,Mechanical,5,82.41,ICSE,2022,74.79,ISC - Science,2024.0,2024,7.22,90.0,No,ANSYS,Completed - Tata Motors,2,Not Placed
s277,Female,B.Tech,ECE,2,87.15,CBSE,2023,80.53,CBSE - Science,2025.0,2026,7.72,71.0,Yes,ML,Not Yet,3,Not Placed
s278,Male,B.Tech,CSE,4,84.16,State Board,2022,88.56,ISC - Science,2024.0,2025,7.63,72.0,Yes (Cleared),Python,Completed - Google,3,Not Placed
s279,Female,B.Tech,CSE,2,84.34,State Board,2023,91.06,CHSE Odisha - Science,2025.0,2026,6.83,88.0,Yes,ML,Not Yet,2,Not Placed
s280,Female,B.Tech,Mechanical,8,89.4,State Board,2020,61.48,CHSE Odisha - Science,2022.0,2023,8.43,76.0,No,No Certification,Completed - TCS,3,Placed - Wipro
s281,Female,B.Tech,Civil,1,82.67,CBSE,2023,89.16,CHSE Odisha - Science,2025.0,2026,8.6,74.0,No,AutoCAD,Not Yet,4,Not Placed
s282,Male,B.Tech,CSE,4,84.93,CBSE,2023,88.41,CBSE - Science,2025.0,2025,8.64,98.0,No,Java,Ongoing - Intel,3,Not Placed
s283,Male,B.Tech,Civil,8,83.39,CBSE,2021,90.35,CHSE Odisha - Science,2023.0,2023,6.73,95.0,Yes,No Certification,Completed - Mahindra & Mahindra,1,Not Placed
s284,Male,B.Tech,CSE,2,96.36,CBSE,2024,80.02,ISC - Science,2026.0,2026,8.04,83.0,Yes,NPTEL DBMS,Not Yet,1,Not Placed
s285,Female,B.Tech,CSE,4,68.88,ICSE,2023,69.58,CHSE Odisha - Science,2025.0,2025,6.65,85.0,Yes,Cisco CCNA,Completed - Microsoft,2,Not Placed
s286,Female,B.Tech,Mechanical,8,94.54,State Board,2021,89.79,State Board - Science,2023.0,2023,9.59,94.0,No,No Certification,Completed - DRDO,1,Not Placed
s287,Male,MCA,Computer Applications,1,96.38,ICSE,2021,88.25,State Board - Science,2023.0,2026,7.84,85.0,Yes (Cleared),Cisco CCNA,Not Yet,2,Not Placed
s288,Male,M.Tech,Robotics,4,77.27,ICSE,2019,83.96,CHSE Odisha - Science,2021.0,2025,7.7,81.0,Yes,No Certification,Completed - Cognizant,2,Not Placed
s289,Male,MCA,Data Science,4,85.67,ICSE,2020,91.98,CHSE Odisha - Science,2022.0,2025,8.31,92.0,Yes (Cleared),No Certification,Ongoing - Google,2,Placed - HCL
s290,Female,M.Tech,Structural Engineering,1,96.41,ICSE,2020,72.14,ISC - Science,2022.0,2026,5.75,76.0,Yes,ETABS,Not Yet,1,Not Placed
s291,Male,B.Tech,ECE,8,68.78,ICSE,2021,62.98,ISC - Science,2023.0,2023,6.61,82.0,No,No Certification,Completed - Infosys,0,Placed - IBM
s292,Female,B.Tech,ECE,8,73.84,CBSE,2021,79.38,CHSE Odisha - Science,2023.0,2023,6.85,65.0,Yes,Python,Completed - Infosys,1,Not Placed
s293,Female,B.Sc,Data Science,1,73.41,ICSE,2023,87.91,State Board - Science,2025.0,2026,6.63,75.0,No,Cisco CCNA,Not Yet,2,Not Placed
s294,Male,B.Tech,Mechanical,1,82.38,CBSE,2024,67.02,State Board - Science,2026.0,2026,8.84,97.0,No,ETABS,Not Yet,2,Not Placed
s295,Male,B.Tech,Mechanical,8,72.03,CBSE,2021,86.26,CHSE Odisha - Science,2023.0,2023,8.69,87.0,No,PLC & SCADA,Completed - IBM,2,Placed - Tata Motors
s296,Female,B.Tech,Mechanical,1,76.74,State Board,2024,92.61,ISC - Science,2026.0,2026,8.68,75.0,No,No Certification,Not Yet,2,Not Placed
s297,Female,B.Sc,Chemistry,2,72.05,ICSE,2023,68.19,State Board - Science,2025.0,2026,5.94,62.0,Yes,Python,Not Yet,2,Not Placed
s298,Male,B.Tech,ECE,8,88.75,State Board,2021,81.24,CHSE Odisha - Science,2023.0,2023,7.54,77.0,No,Python,Completed - Infosys,2,Placed - Adobe
s299,Female,B.Tech,Civil,3,91.95,CBSE,2023,83.72,CHSE Odisha - Science,2025.0,2025,6.4,85.0,No,ANSYS,Completed - DRDO,2,Not Placed
s300,Female,B.Tech,Civil,1,95.12,State Board,2024,76.29,State Board - Science,2026.0,2026,7.81,74.0,Yes,STAAD Pro,Not Yet,1,Not Placed
s301,Female,B.Tech,CSE,1,74.32,CBSE,2024,67.23,CHSE Odisha - Science,2026.0,2026,6.79,65.0,Yes,Java,Not Yet,0,Not Placed
s302,Male,B.Sc,Physics,4,90.05,ICSE,2023,68.92,ISC - Science,2025.0,2025,8.5,89.0,No,No Certification,Ongoing - DRDO,3,Not Placed
s303,Male,BCA,Computer Applications,1,88.49,ICSE,2024,86.29,State Board - Science,2026.0,2026,8.48,85.0,No,AWS,Not Yet,2,Not Placed
s304,Female,M.Sc,Chemistry,4,74.0,ICSE,2020,87.71,ISC - Science,2022.0,2025,8.0,86.0,Yes,Python,Ongoing - Intel,3,Not Placed
s305,Female,B.Tech,CSE,1,94.72,ICSE,2023,76.09,CHSE Odisha - Science,2025.0,2026,8.34,82.0,No,Azure,Not Yet,3,Not Placed
s306,Male,BCA,Computer Applications,6,97.09,State Board,2021,63.07,State Board - Science,2023.0,2024,8.91,94.0,Yes,SQL,Completed - ISRO,5,Not Placed
s307,Male,M.Tech,Thermal Engineering,4,76.15,CBSE,2019,88.23,CHSE Odisha - Science,2021.0,2025,8.2,79.0,Yes,Revit,Completed - Infosys,3,Not Placed
s308,Male,B.Tech,CSE,1,96.67,State Board,2024,87.03,CHSE Odisha - Science,2026.0,2026,9.52,80.0,Yes (Cleared),SQL,Not Yet,2,Not Placed
s309,Male,B.Tech,CSE,8,81.15,CBSE,2020,68.15,CBSE - Science,2022.0,2023,7.65,71.0,No,SQL,Not Yet,3,Placed - Adobe
s310,Female,B.Sc,Chemistry,4,83.64,ICSE,2023,80.29,CBSE - Science,2025.0,2025,9.39,93.0,No,SQL,Ongoing - Amazon,3,Not Placed
s311,Male,B.Tech,ECE,8,97.72,CBSE,2021,91.39,ISC - Science,2023.0,2023,8.1,67.0,Yes,Azure,Completed - Cisco,3,Not Placed
s312,Male,B.Tech,CSE,8,93.31,CBSE,2021,90.98,State Board - Science,2023.0,2023,9.0,68.0,No,No Certification,Completed - Cisco,1,Not Placed
s313,Male,B.Tech,ECE,1,74.52,ICSE,2024,78.27,CBSE - Science,2026.0,2026,8.66,90.0,No,Python,Not Yet,1,Not Placed
s314,Female,B.Tech,CSE,2,82.08,CBSE,2023,76.68,CHSE Odisha - Science,2025.0,2026,7.5,75.0,No,ML,Not Yet,4,Not Placed
s315,Male,B.Tech,CSE,3,84.44,State Board,2022,80.63,ISC - Science,2024.0,2025,8.91,83.0,Yes (Cleared),No Certification,Completed - Amazon,4,Not Placed
s316,Male,B.Sc,Data Science,6,79.5,CBSE,2021,66.62,CBSE - Science,2023.0,2024,8.0,93.0,Yes,Cisco CCNA,Not Yet,3,Not Placed
s317,Male,B.Tech,ECE,3,75.48,ICSE,2023,66.73,State Board - Science,2025.0,2025,7.17,82.0,No,Cisco CCNA,Completed - Wipro,2,Not Placed
s318,Female,M.Tech,Thermal Engineering,4,78.92,State Board,2019,66.32,CBSE - Science,2021.0,2025,7.66,84.0,No,No Certification,Completed - Tata Motors,1,Not Placed
s319,Male,B.Tech,IT,1,90.22,State Board,2024,84.54,CHSE Odisha - Science,2026.0,2026,8.93,84.0,No,SQL,Not Yet,2,Not Placed
s320,Male,MCA,Data Science,4,70.55,ICSE,2020,72.7,CHSE Odisha - Science,2022.0,2025,7.36,67.0,Yes (Cleared),NPTEL DBMS,Completed - Wipro,2,Placed - Deloitte
s321,Male,B.Tech,ECE,8,85.51,CBSE,2021,79.76,ISC - Science,2023.0,2023,8.43,88.0,No,NPTEL DBMS,Completed - IBM,3,Placed - IBM
s322,Male,B.Sc,Data Science,6,82.33,ICSE,2021,74.09,CHSE Odisha - Science,2023.0,2024,7.01,68.0,Yes (Cleared),Cisco CCNA,Completed - Infosys,3,Not Placed
s323,Female,MCA,Artificial Intelligence,2,70.51,CBSE,2020,78.1,CBSE - Science,2022.0,2026,7.57,72.0,No,No Certification,Not Yet,2,Not Placed
s324,Female,M.Tech,Environmental Engineering,4,79.28,CBSE,2019,65.22,CBSE - Science,2021.0,2025,8.74,98.0,Yes,AutoCAD,Ongoing - TCS,3,Not Placed
s325,Male,B.Sc,Physics,6,87.47,ICSE,2021,61.56,ISC - Science,2023.0,2024,7.73,75.0,Yes,NPTEL DBMS,Not Yet,4,Not Placed
